date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:28	112/112	---MC-	200	added ('OK')	text/plain	date:Sun,%2006%20Mar%202022%2009:29:24%20GMT	https://otae.com.bd/robots.txt		(from )
15:29:45	114967/114967	---M--	200	added ('OK')	text/html	date:Sun,%2006%20Mar%202022%2009:29:45%20GMT	https://otae.com.bd/	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/index.html	(from )
15:29:45	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2006%20Mar%202022%2009:29:46%20GMT	https://otae.com.bd/xmlrpc.php	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/xmlrpc.php	(from https://otae.com.bd/)
15:29:46	59189/59189	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Sep%202019%2011:13:40%20GMT	https://otae.com.bd/wp-content/uploads/2019/09/1.jpg?id=2444	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/wp-content/uploads/2019/09/11da2.jpg	(from https://otae.com.bd/)
15:29:49	11046/11046	---MC-	200	added ('OK')	application/rss+xml	etag:%22c5b676d2e77a759d80f6833af74e811a%22	https://otae.com.bd/feed/	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/feed/index.html	(from https://otae.com.bd/)
15:29:49	8157/8157	---MC-	200	added ('OK')	application/rss+xml	etag:%2203cbb3b99ebdd945cf21b16da3593856%22	https://otae.com.bd/comments/feed/	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/comments/feed/index.html	(from https://otae.com.bd/)
15:30:08	14729/14729	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Jul%202021%2008:28:01%20GMT	https://otae.com.bd/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.3.0	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylea1ec.css	(from https://otae.com.bd/)
15:30:08	1685/1685	---M--	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2009:05:47%20GMT	https://otae.com.bd/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/wp-content/plugins/contact-form-7/includes/css/styles58e0.css	(from https://otae.com.bd/)
15:30:09	56168/56168	---M--	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2009:09:39%20GMT	https://otae.com.bd/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.1	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/wp-content/plugins/revslider/public/assets/css/rs66a4d.css	(from https://otae.com.bd/)
15:30:09	30611/30611	---M--	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2009:02:56%20GMT	https://otae.com.bd/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=6.0.5	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min52c7.css	(from https://otae.com.bd/)
15:30:10	3912/3912	---M--	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:49:27%20GMT	https://otae.com.bd/wp-content/themes/industrial/js/owlcarousel/assets/owl.carousel.css?ver=5.8.3	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/wp-content/themes/industrial/js/owlcarousel/assets/owl.carouselc8d8.css	(from https://otae.com.bd/)
15:30:11	3333/3333	---M--	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:49:26%20GMT	https://otae.com.bd/wp-content/themes/industrial/css/pikaday.css?ver=5.8.3	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/wp-content/themes/industrial/css/pikadayc8d8.css	(from https://otae.com.bd/)
15:30:11	54106/54106	---M--	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:49:26%20GMT	https://otae.com.bd/wp-content/themes/industrial/css/bootstrap.css?ver=5.8.3	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/wp-content/themes/industrial/css/bootstrapc8d8.css	(from https://otae.com.bd/)
15:30:11	82954/82954	---M--	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:49:26%20GMT	https://otae.com.bd/wp-content/themes/industrial/css/core.css?ver=5.8.3	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/wp-content/themes/industrial/css/corec8d8.css	(from https://otae.com.bd/)
15:30:11	142805/142805	---M--	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:49:26%20GMT	https://otae.com.bd/wp-content/themes/industrial/css/components.css?ver=5.8.3	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/wp-content/themes/industrial/css/componentsc8d8.css	(from https://otae.com.bd/)
15:30:11	2508/2508	---M--	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:49:26%20GMT	https://otae.com.bd/wp-content/themes/industrial/css/components/button.css?ver=5.8.3	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/wp-content/themes/industrial/css/components/buttonc8d8.css	(from https://otae.com.bd/)
15:30:12	5742/5742	---M--	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:49:26%20GMT	https://otae.com.bd/wp-content/themes/industrial/css/swipebox.css?ver=5.8.3	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/wp-content/themes/industrial/css/swipeboxc8d8.css	(from https://otae.com.bd/)
15:30:12	687/687	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Sep%202019%2009:46:35%20GMT	https://otae.com.bd/wp-content/themes/industrial/style.css?ver=5.8.3	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/wp-content/themes/industrial/stylec8d8.css	(from https://otae.com.bd/)
15:30:12	2039/2039	---M--	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:49:26%20GMT	https://otae.com.bd/wp-content/themes/industrial/css/wordpress.css?ver=5.8.3	F:/Web%20Site%20Copier/otae.com.bd/otae.com.bd/wp-content/themes/industrial/css/wordpressc8d8.css	(from https://otae.com.bd/)
